編號,1. 出生年，身分證後兩碼，手機後兩碼,2. 科系所屬學院 ,3. 性別 ,4. 6歲~12歲期間主要成長地(若是台灣請填縣市，非台灣者填國家名稱),5. 爸爸教育程度 ,6. 爸爸職業,7. 媽媽教育程度 ,8. 媽媽職業,9. 家庭每月收入(爸爸媽媽月薪合計，單位新台幣) ,10. 您爺爺的籍貫為 ? 日常生活主要語言為 ? 和他講話時您使用的語言為 ?(可填無法作答),11. 您奶奶的籍貫為 ? 日常生活主要語言為 ? 和她講話時您使用的語言為 ?(可填無法作答),12. 您外公的籍貫為 ? 日常生活主要語言為 ? 和他講話時您使用的語言為 ?(可填無法作答),13. 您外婆的籍貫為 ? 日常生活主要語言為 ? 和她講話時您使用的語言為 ?(可填無法作答),14. 平時和爸爸講話時您使用華語、台語、英語、其他語言之比例為何 ?(四項合計100%)(可填無法作答),15. 平時和媽媽講話時您使用華語、台語、英語、其他語言之比例為何 ? (四項合計100%)(可填無法作答),16. 平時和兄弟姊妹講話時您使用華語、台語、英語、其他語言之比例為何 ?(四項合計100%)(可填無法作答),17. 整體而言，您與他人(親友以外)交談時，使用華語、台語、英語、其他語言之比例為何 ? (四項合計100%)(可填無法作答),19.[華語]您自評自己以下語言的聽講能力如何,19. [台語]您自評自己以下語言的聽講能力如何,19.[英語]您自評自己以下語言的聽講能力如何,20.[華語]您對自己在以下語言於課堂表達想法,20.[台語]您對自己在以下語言於課堂表達想法,20.[英語]您對自己在以下語言於課堂表達想法,21.「主要溝通語言」為何,22. 從高中至大學「非您的主要溝通語言」為授課語言?(不包含語言授課),23. 承上題如果有，這個「語言」是,24. 從高中至大學，在課堂中或公共場合中以「非您的主要溝通語言」表達想法,25. 承上題如果有，這個「語言」是,33.[台語對話]課堂外日常生活中經常可以聽到,34.[英語對話]除了課堂外我的日常生活中經常可以聽到,35.[台語歌曲]我常聽,36.[英語歌曲]我常聽,37.[台語媒體]我常觀看,38.[英語媒體]我常觀看,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"86, 65, 07",D,1,台灣花蓮,7,公務員,6,護士,9,"台灣, H, H","台灣, H, H",X,"台灣, T, T",C100,C100,C100,C100,9,3,4,4,2,2,C,2,E,1,X,2,3,3,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"86, 45, 53",D,1,台灣彰化,6,通訊業,6,通訊業,0,"台灣, T, T","台灣, T, T","台灣, T, T","台灣, T, T",C100,C100,"C99, E1",X,1,4,6,4,1,3,C,2,E,2,E,2,2,2,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"86, 98, 91",D,1,台灣雲林,6,水電,4,家管,6,X,"X, T, T","X, T, T","X, T, T",C50，T50,C50，T50,C60，T40,C60，T40,9,8,5,5,5,3,C,2,E,1,E,5,2,5,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"86, 68, 12",E,1,台灣台北,6,商人,7,會計師,7,"台灣, T, C","台灣, T, C","台灣, T, C","台灣, T, C",C80，T20,"C70，T5, E25",C100,"C90，T5, E5",9,5,7,1,2,4,C,2,E,2,"E, T",5,5,5,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"86, 69, 71",H,1,台灣台南,6,小型企業負責人,6,教師,0,"台灣, T, T","台灣, T, T","台灣, T, T","台灣, T, T",T100,T100,T100,C40，T60,9,9,4,4,4,2,T,2,T,3,T,5,3,4,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"85, 95, 32",D,1,台灣基隆,5,貨車司機,6,會計,0,"X, X, C","X, X, C","X, X, T","X, X, T",C90，T10,C90，T10,"C90，T5, E5","C90，T5, E5",9,7,7,5,4,4,C,2,E,2,E,3,3,1,5,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"85, 75, 19",D,1,台灣台南,6,商,6,商,0,"台灣, T, T","台灣, T, T","台灣, T, T","台灣, T, T",C10，T90,C10，T90,C100,C95，T5,9,9,6,3,3,2,C,2,E,2,E,4,2,4,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"84, 90, 16",E,1,台灣台中,7,經理,6,家管,10,"X, T, C","X, T, C","X, C, C","X, C, C","C99，T0.5, E0.5",C100,C100,"C95, E5",9,2,7,5,1,4,C,3,E,3,E,1,4,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"84, 07, 12",B,1,台灣台北,7,建築師,7,老師,10,"台灣, T, T","台灣, T, T","台灣, T, T","台灣, T, T",C10，T90,"C20，T70, E10",5,"C40，T40, E20",9,9,9,5,5,5,T,5,北京話,5,北京話,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"82, 20, 10",I,1,台灣新北,5,工廠員工,5,公司職員,3,"台灣, T, T","台灣, T, T","台灣, X , X","台灣, T, T",C80，T20,C80，T20,C100,C80，T20,9,6,5,4,2,2,C,2,E,2,T,4,1,4,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,86，60，96,D,1,台灣新北市,5,餐廳主管,5,家管,5,雲南，X，X,雲南，X，X,台灣，T，T,台灣，T，T,C90，T10,C90，T10,C80，T10，E10,C95，T5,9,7,6,3,4,3,C,2,E,3,T，E,3,3,4,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,88，20，08,I,0,台灣台北市,6,土木工程師,7,財務管理人員,7,台灣，T，C,台灣，T，C,台灣，T，C,台灣，T，T,C90，T5，E5,C90，T5，E5,C99，T0.5，E0.5,C80，T10，E10,9,7,7,4,3,3,C,2,E,2,"E, T",3,3,2,5,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,87，71，85,B,1,台灣屏東,4,商人,5,家庭主婦,10,台灣，T，T,台灣，T，T,台灣，T，T,台灣，T，T,C20，T80,C20，T80,C70，T30,C95，T5,9,7,5,5,4,2,C,2,T，E,2,T,5,2,1,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,87，34，08,H,1,台灣台中市,6,教師,6,公務員,0,X，T，T,X，T，T,X，T，T,X，X，X,C99，T0.5，E0.5,C99，T0.5，E0.5,C99，T0.5，E0.5,C99，T0.5，E0.5,9,8,7,5,4,3,C,1,X，X,1,X，X,4,3,5,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
